,coefficient,robust_pvalue,percent_impact
const,4.09408960199153,0.0,5898.470433614159
accommodates,0.08549697083778691,4.526125036737428e-91,8.925826179910135
bedrooms,0.09310739033187514,4.998367303229062e-23,9.757959837661856
bathrooms,0.12565295489071823,1.9563361741224274e-30,13.388858950272242
is_shared_bath,-0.2361033071586235,2.0344119416926728e-61,-21.030091185028667
is_entire_home,0.36343451834267926,3.8571405582593396e-172,43.82606741290773
distance_to_downtown_km,-0.02747827269687229,1.0356396963408766e-289,-2.7104179273775952
amenity_count,0.0036536335952634313,6.491613476787092e-33,0.3660316250667206
instant_bookable,0.023284560714505832,0.019142461699151753,2.355776243817287
